v,b,m_5p
13.47833908082177,1498538.6112509272,1371689642635198.8
13.47833908082177,1606250.4751999467,1570348679811188.5
13.47833908082177,1721704.445724173,1798082318107964.5
13.47833908082177,1845457.0094725697,2059305138268975.5
13.47833908082177,1978104.6522064032,2358875817366119.0
13.47833908082177,2120286.7338529434,2702481286350218.5
13.47833908082177,2272688.570212054,3096486141391212.5
13.47833908082177,2436044.736169517,3548732322694006.5
13.47833908082177,2611142.6063384903,4067486984099935.5
13.47833908082177,2798826.1501950226,4662597534402893.0
13.47833908082177,3000000.0,5345679655026704.0
15.647846128750743,100000.0,11521882381041.42
15.647846128750743,107187.79370383405,12614757499516.023
15.647846128750743,114892.2311909571,13849390601264.28
15.647846128750743,123150.44775069517,15249371796330.959
15.647846128750743,132002.24788036308,16838133377524.734
15.647846128750743,141490.29714242753,18645801422828.027
15.647846128750743,151660.327811967,20706813943053.973
15.647846128750743,162561.35930565,23060366800098.13
15.647846128750743,174245.93445468854,25749369630771.098
15.647846128750743,186770.37276060946,28824755024140.492
15.647846128750743,200195.04185452432,32345543512371.586
15.647846128750743,214584.64846833175,36373996077149.55
15.647846128750743,230008.55032033296,40987033278829.58
15.647846128750743,246541.0904185383,46265662888356.73
15.647846128750743,264261.9553930058,52309323270241.95
15.647846128750743,283256.5595843736,59222311128377.03
15.647846128750743,303616.4567398761,67128091008403.375
15.647846128750743,325439.781301229,76174835219929.62
15.647846128750743,348831.72141137073,86513714881910.81
15.647846128750743,373905.0259199532,98338733192817.64
15.647846128750743,400780.54783134663,111849182060140.44
15.647846128750743,429587.8268145607,127294479708018.78
15.647846128750743,460465.7135827752,144945939868828.22
15.647846128750743,493563.0391519924,165128587362406.34
15.647846128750743,529039.3322046124,188184981609147.94
15.647846128750743,567065.5880156212,214557138643800.44
15.647846128750743,607825.0926476188,244693845888972.53
15.647846128750743,651514.3063872679,279142006106921.06
15.647846128750743,698343.81068135,318547226477170.25
15.647846128750743,748539.3231366203,363596854274861.75
15.647846128750743,802342.7854757563,415134164850952.4
15.647846128750743,860013.5296933495,474109771434631.6
15.647846128750743,921829.5280327708,541555010271935.2
15.647846128750743,988088.7328087935,618768676099340.4
15.647846128750743,1059110.5125339176,707150281756257.1
15.647846128750743,1135237.1912704774,808337586722535.6
15.647846128750743,1216835.6986281993,924211747315183.4
15.647846128750743,1304299.3383602048,1056933958206875.0
15.647846128750743,1398049.6840820087,1208987679239260.2
15.647846128750743,1498538.6112509272,1383227309251166.0
15.647846128750743,1606250.4751999467,1582845320285551.8
15.647846128750743,1721704.445724173,1811678184197586.8
15.647846128750743,1845457.0094725697,2073943281178669.8
15.647846128750743,1978104.6522064032,2374708744999516.5
15.647846128750743,2120286.7338529434,2719550140346767.0
15.647846128750743,2272688.570212054,3115167801490141.0
15.647846128750743,2436044.736169517,3568737861741419.0
15.647846128750743,2611142.6063384903,4089037503036430.0
15.647846128750743,2798826.1501950226,4685983782669640.0
15.647846128750743,3000000.0,5370982173499864.0
18.166562437760756,100000.0,12895102681113.986
18.166562437760756,107187.79370383405,14039087059040.352
18.166562437760756,114892.2311909571,15323273827117.686
18.166562437760756,123150.44775069517,16770118554450.379
18.166562437760756,132002.24788036308,18404202036403.73
18.166562437760756,141490.29714242753,20254361391973.402
18.166562437760756,151660.327811967,22355770801319.883
18.166562437760756,162561.35930565,24746048477584.07
18.166562437760756,174245.93445468854,27468995197978.29
18.166562437760756,186770.37276060946,30577388459638.12
18.166562437760756,200195.04185452432,34129496615876.69
18.166562437760756,214584.64846833175,38192881190942.75
18.166562437760756,230008.55032033296,42841074174043.14
18.166562437760756,246541.0904185383,48163145623905.83
18.166562437760756,264261.9553930058,54256058685892.305
18.166562437760756,283256.5595843736,61229807015394.96
18.166562437760756,303616.4567398761,69208770306146.53
18.166562437760756,325439.781301229,78341907303234.53
18.166562437760756,348831.72141137073,88785050029856.48
18.166562437760756,373905.0259199532,100733477799735.75
18.166562437760756,400780.54783134663,114392733392248.4
18.166562437760756,429587.8268145607,130013741899550.6
18.166562437760756,460465.7135827752,147859295572777.78
18.166562437760756,493563.0391519924,168267784476634.44
18.166562437760756,529039.3322046124,191590092399641.25
18.166562437760756,567065.5880156212,218243053666967.12
18.166562437760756,607825.0926476188,248715656668857.03
18.166562437760756,651514.3063872679,283538674447284.94
18.166562437760756,698343.81068135,323346354351412.5
18.166562437760756,748539.3231366203,368867266330717.7
18.166562437760756,802342.7854757563,420914935174398.0
18.166562437760756,860013.5296933495,480414615061618.44
18.166562437760756,921829.5280327708,548510026038432.94
18.166562437760756,988088.7328087935,626363110121721.8
18.166562437760756,1059110.5125339176,715467389565723.1
18.166562437760756,1135237.1912704774,817477081804720.9
18.166562437760756,1216835.6986281993,934188615205397.0
18.166562437760756,1304299.3383602048,1067803182584883.8
18.166562437760756,1398049.6840820087,1220871404937210.5
18.166562437760756,1498538.6112509272,1396117191697004.2
18.166562437760756,1606250.4751999467,1596966840198186.0
18.166562437760756,1721704.445724173,1827019421784734.5
18.166562437760756,1845457.0094725697,2090564983935843.2
18.166562437760756,1978104.6522064032,2392799173428155.0
18.166562437760756,2120286.7338529434,2739189449995570.5
18.166562437760756,2272688.570212054,3136253310978087.0
18.166562437760756,2436044.736169517,3591681779920798.5
18.166562437760756,2611142.6063384903,4113707404749366.0
18.166562437760756,2798826.1501950226,4712665353189754.0
18.166562437760756,3000000.0,5399742462185287.0
21.09069760078268,100000.0,14595984665943.555
21.09069760078268,107187.79370383405,15809778349956.26
21.09069760078268,114892.2311909571,17164025086903.125
21.09069760078268,123150.44775069517,18679373441601.355
21.09069760078268,132002.24788036308,20379996334655.445
21.09069760078268,141490.29714242753,22295528601707.2
21.09069760078268,151660.327811967,24457007701540.63
21.09069760078268,162561.35930565,26905061207243.58
21.09069760078268,174245.93445468854,29683134887518.125
21.09069760078268,186770.37276060946,32842080711275.887
21.09069760078268,200195.04185452432,36441536471267.24
21.09069760078268,214584.64846833175,40549303456844.0
21.09069760078268,230008.55032033296,45242020499198.24
21.09069760078268,246541.0904185383,50608519518024.055
21.09069760078268,264261.9553930058,56748590365118.22
21.09069760078268,283256.5595843736,63776853043247.51
21.09069760078268,303616.4567398761,71820760583017.75
21.09069760078268,325439.781301229,81033946842811.52
21.09069760078268,348831.72141137073,91573028653665.44
21.09069760078268,373905.0259199532,103634159541737.03
21.09069760078268,400780.54783134663,117435609104918.48
21.09069760078268,429587.8268145607,133217275334173.95
21.09069760078268,460465.7135827752,151264260353911.97
21.09069760078268,493563.0391519924,171891304005097.97
21.09069760078268,529039.3322046124,195473940196062.5
21.09069760078268,567065.5880156212,222429498573857.47
21.09069760078268,607825.0926476188,253244509911219.94
21.09069760078268,651514.3063872679,288458278810944.06
21.09069760078268,698343.81068135,328697858789051.7
21.09069760078268,748539.3231366203,374698229177958.44
21.09069760078268,802342.7854757563,427304340837464.4
21.09069760078268,860013.5296933495,487433124336635.6
21.09069760078268,921829.5280327708,556179328924611.94
21.09069760078268,988088.7328087935,634799708639092.9
21.09069760078268,1059110.5125339176,724696643754321.0
21.09069760078268,1135237.1912704774,827556876134326.1
21.09069760078268,1216835.6986281993,945282294434507.1
21.09069760078268,1304299.3383602048,1079937041270285.6
21.09069760078268,1398049.6840820087,1234120089172498.8
21.09069760078268,1498538.6112509272,1410633075014060.5
21.09069760078268,1606250.4751999467,1612754860261524.5
21.09069760078268,1721704.445724173,1844148537207326.0
21.09069760078268,1845457.0094725697,2109334751760941.5
21.09069760078268,1978104.6522064032,2413196981619535.5
21.09069760078268,2120286.7338529434,2761298018488084.5
21.09069760078268,2272688.570212054,3160322806941756.5
21.09069760078268,2436044.736169517,3617619213318035.5
21.09069760078268,2611142.6063384903,4142017353215616.0
21.09069760078268,2798826.1501950226,4743230377638673.0
21.09069760078268,3000000.0,5432625472558963.0
24.48550884690596,100000.0,16684548284992.027
24.48550884690596,107187.79370383405,17992956875399.336
24.48550884690596,114892.2311909571,19442187054441.42
24.48550884690596,123150.44775069517,21051886293814.23
24.48550884690596,132002.24788036308,22847458156770.08
24.48550884690596,141490.29714242753,24854793327734.297
24.48550884690596,151660.327811967,27106974965648.47
24.48550884690596,162561.35930565,29643114267535.723
24.48550884690596,174245.93445468854,32504124782169.754
24.48550884690596,186770.37276060946,35741586667409.27
24.48550884690596,200195.04185452432,39414343471563.055
24.48550884690596,214584.64846833175,43591749263633.16
24.48550884690596,230008.55032033296,48347608866970.01
24.48550884690596,246541.0904185383,53776287914309.984
24.48550884690596,264261.9553930058,59972769065035.66
24.48550884690596,283256.5595843736,67063969835778.07
24.48550884690596,303616.4567398761,75170909472181.8
24.48550884690596,325439.781301229,84457017777202.6
24.48550884690596,348831.72141137073,95082498652558.25
24.48550884690596,373905.0259199532,107243528291253.64
24.48550884690596,400780.54783134663,121170928978951.55
24.48550884690596,429587.8268145607,137099582673093.75
24.48550884690596,460465.7135827752,155331582076095.72
24.48550884690596,493563.0391519924,176176211077936.34
24.48550884690596,529039.3322046124,200009122600503.12
24.48550884690596,567065.5880156212,227270448371825.6
24.48550884690596,607825.0926476188,258421772860171.06
24.48550884690596,651514.3063872679,294024682084575.8
24.48550884690596,698343.81068135,334739552535940.1
24.48550884690596,748539.3231366203,381242379825200.9
24.48550884690596,802342.7854757563,434425229342489.4
24.48550884690596,860013.5296933495,495194019035256.5
24.48550884690596,921829.5280327708,564653762771866.4
24.48550884690596,988088.7328087935,644109880131142.6
24.48550884690596,1059110.5125339176,734912021581890.6
24.48550884690596,1135237.1912704774,838750539454702.1
24.48550884690596,1216835.6986281993,957529898986675.8
24.48550884690596,1304299.3383602048,1093375986181771.5
24.48550884690596,1398049.6840820087,1248845717930168.8
24.48550884690596,1498538.6112509272,1426742844508067.2
24.48550884690596,1606250.4751999467,1630347843796263.8
24.48550884690596,1721704.445724173,1863427498239756.0
24.48550884690596,1845457.0094725697,2130427683684605.5
24.48550884690596,1978104.6522064032,2436095648073792.0
24.48550884690596,2120286.7338529434,2786246469905738.0
24.48550884690596,2272688.570212054,3187442674478422.0
24.48550884690596,2436044.736169517,3647022784652818.5
24.48550884690596,2611142.6063384903,4174040326905899.5
24.48550884690596,2798826.1501950226,4778020919448935.0
24.48550884690596,3000000.0,5470319535187306.0
28.426757371442328,100000.0,19231306479964.965
28.426757371442328,107187.79370383405,20662627521253.254
28.426757371442328,114892.2311909571,22237948829367.953
28.426757371442328,123150.44775069517,23975117384041.277
28.426757371442328,132002.24788036308,25897440022793.324
28.426757371442328,141490.29714242753,28033715659453.24
28.426757371442328,151660.327811967,30412816433347.7
28.426757371442328,162561.35930565,33073672517686.13
28.426757371442328,174245.93445468854,36056404885005.586
28.426757371442328,186770.37276060946,39414343471563.055
28.426757371442328,200195.04185452432,43198993954943.57
28.426757371442328,214584.64846833175,47482992985446.81
28.426757371442328,230008.55032033296,52341679790643.805
28.426757371442328,246541.0904185383,57859933436283.555
28.426757371442328,264261.9553930058,64147204436053.43
28.426757371442328,283256.5595843736,71317850007475.38
28.426757371442328,303616.4567398761,79508770747820.48
28.426757371442328,325439.781301229,88869939151890.72
28.426757371442328,348831.72141137073,99584869680898.48
28.426757371442328,373905.0259199532,111842894584054.86
28.426757371442328,400780.54783134663,125878387761761.02
28.426757371442328,429587.8268145607,141946282622696.25
28.426757371442328,460465.7135827752,160335354694360.97
28.426757371442328,493563.0391519924,181381817774093.6
28.426757371442328,529039.3322046124,205456424794518.94
28.426757371442328,567065.5880156212,232988231232919.5
28.426757371442328,607825.0926476188,264476869264577.6
28.426757371442328,651514.3063872679,300491389032684.75
28.426757371442328,698343.81068135,341640489884287.94
28.426757371442328,748539.3231366203,388686636534000.06
28.426757371442328,802342.7854757563,442460008595019.25
28.426757371442328,860013.5296933495,503899294141947.8
28.426757371442328,921829.5280327708,574128081043709.2
28.426757371442328,988088.7328087935,654438952183634.6
28.426757371442328,1059110.5125339176,746193673303038.1
28.426757371442328,1135237.1912704774,851147607678826.0
28.426757371442328,1216835.6986281993,971081899986975.0
28.426757371442328,1304299.3383602048,1108289759249785.2
28.426757371442328,1398049.6840820087,1265168695557326.8
28.426757371442328,1498538.6112509272,1444659923053271.0
28.426757371442328,1606250.4751999467,1649986795843050.8
28.426757371442328,1721704.445724173,1884920200496646.5
28.426757371442328,1845457.0094725697,2153788853363007.2
28.426757371442328,1978104.6522064032,2461701280515472.0
28.426757371442328,2120286.7338529434,2814266586475404.0
28.426757371442328,2272688.570212054,3217868995962712.5
28.426757371442328,2436044.736169517,3680387565122692.5
28.426757371442328,2611142.6063384903,4210095935172259.5
28.426757371442328,2798826.1501950226,4817126884849731.0
28.426757371442328,3000000.0,5512921848479323.0
33.002399080505995,100000.0,22319355036866.816
33.002399080505995,107187.79370383405,23909167421119.016
33.002399080505995,114892.2311909571,25646801065637.67
33.002399080505995,123150.44775069517,27549410144610.125
33.002399080505995,132002.24788036308,29641447913176.77
33.002399080505995,141490.29714242753,31947976725750.61
33.002399080505995,151660.327811967,34499863979666.613
33.002399080505995,162561.35930565,37333157849546.73
33.002399080505995,174245.93445468854,40487803706160.66
33.002399080505995,186770.37276060946,44012810462329.555
33.002399080505995,200195.04185452432,47965902153078.09
33.002399080505995,214584.64846833175,52409399022770.74
33.002399080505995,230008.55032033296,57419263441672.95
33.002399080505995,246541.0904185383,63085094478719.53
33.002399080505995,264261.9553930058,69508996015192.12
33.002399080505995,283256.5595843736,76806927182762.88
33.002399080505995,303616.4567398761,85114760767882.2
33.002399080505995,325439.781301229,94592018327257.28
33.002399080505995,348831.72141137073,105414509093293.17
33.002399080505995,373905.0259199532,117779399555597.98
33.002399080505995,400780.54783134663,131927980371601.45
33.002399080505995,429587.8268145607,148125518243189.97
33.002399080505995,460465.7135827752,166658002363439.56
33.002399080505995,493563.0391519924,187878443309715.97
33.002399080505995,529039.3322046124,212170290158754.53
33.002399080505995,567065.5880156212,239966914395948.12
33.002399080505995,607825.0926476188,271771618996726.38
33.002399080505995,651514.3063872679,308137899091397.75
33.002399080505995,698343.81068135,349743780366420.25
33.002399080505995,748539.3231366203,397302313299720.56
33.002399080505995,802342.7854757563,451657857759265.06
33.002399080505995,860013.5296933495,513796351069339.5
33.002399080505995,921829.5280327708,584845315478177.8
33.002399080505995,988088.7328087935,666018554267688.5
33.002399080505995,1059110.5125339176,758799355122813.5
33.002399080505995,1135237.1912704774,864894012592519.9
33.002399080505995,1216835.6986281993,986099862939257.4
33.002399080505995,1304299.3383602048,1124733950533251.2
33.002399080505995,1398049.6840820087,1283146864916567.5
33.002399080505995,1498538.6112509272,1464365249057466.8
33.002399080505995,1606250.4751999467,1671646838299431.2
33.002399080505995,1721704.445724173,1908698379069796.0
33.002399080505995,1845457.0094725697,2179855643929785.5
33.002399080505995,1978104.6522064032,2490234435670428.0
33.002399080505995,2120286.7338529434,2845446278518584.5
33.002399080505995,2272688.570212054,3252057405086043.0
33.002399080505995,2436044.736169517,3717608666281452.5
33.002399080505995,2611142.6063384903,4250762072022322.0
33.002399080505995,2798826.1501950226,4861469642334943.0
33.002399080505995,3000000.0,5560855392090824.0
38.31454748205495,100000.0,26043433634171.16
38.31454748205495,107187.79370383405,27832720864280.414
38.31454748205495,114892.2311909571,29776726581176.234
38.31454748205495,123150.44775069517,31892350136631.184
38.31454748205495,132002.24788036308,34202481541523.93
38.31454748205495,141490.29714242753,36731533709122.06
38.31454748205495,151660.327811967,39509733614876.0
38.31454748205495,162561.35930565,42572188511931.68
38.31454748205495,174245.93445468854,45959778787707.59
38.31454748205495,186770.37276060946,49717443522303.35
38.31454748205495,200195.04185452432,53903406381551.29
38.31454748205495,214584.64846833175,58573367784406.836
38.31454748205495,230008.55032033296,63809128411342.484
38.31454748205495,246541.0904185383,69692890401173.234
38.31454748205495,264261.9553930058,76324859870763.44
38.31454748205495,283256.5595843736,83823204159506.33
38.31454748205495,303616.4567398761,92317323152779.0
38.31454748205495,325439.781301229,101964094223280.33
38.31454748205495,348831.72141137073,112948601865626.08
38.31454748205495,373905.0259199532,125468630092590.73
38.31454748205495,400780.54783134663,139760917227920.31
38.31454748205495,429587.8268145607,156101905031845.66
38.31454748205495,460465.7135827752,174785291357759.7
38.31454748205495,493563.0391519924,196178480862940.88
38.31454748205495,529039.3322046124,220661002000860.25
38.31454748205495,567065.5880156212,248687694912476.53
38.31454748205495,607825.0926476188,280762980266345.72
38.31454748205495,651514.3063872679,317474599777315.25
38.31454748205495,698343.81068135,359491376168798.44
38.31454748205495,748539.3231366203,407526871009798.4
38.31454748205495,802342.7854757563,462474605525008.94
38.31454748205495,860013.5296933495,525303332855711.6
38.31454748205495,921829.5280327708,597137325640333.6
38.31454748205495,988088.7328087935,679214323589138.6
38.31454748205495,1059110.5125339176,773050753497221.5
38.31454748205495,1135237.1912704774,880296360375271.5
38.31454748205495,1216835.6986281993,1002871102016274.1
38.31454748205495,1304299.3383602048,1143027398541032.8
38.31454748205495,1398049.6840820087,1303137475535696.2
38.31454748205495,1498538.6112509272,1486259783930996.0
38.31454748205495,1606250.4751999467,1695591727535639.2
38.31454748205495,1721704.445724173,1934950778555430.2
38.31454748205495,1845457.0094725697,2208719802986799.8
38.31454748205495,1978104.6522064032,2521790384109140.0
38.31454748205495,2120286.7338529434,2880045931765919.0
38.31454748205495,2272688.570212054,3289936381903484.5
38.31454748205495,2436044.736169517,3759007932470678.5
38.31454748205495,2611142.6063384903,4295924504982324.0
38.31454748205495,2798826.1501950226,4910911518485510.0
38.31454748205495,3000000.0,5614884412108562.0
44.481752528766044,100000.0,30512139146646.12
44.481752528766044,107187.79370383405,32553497565756.426
44.481752528766044,114892.2311909571,34754866528664.633
44.481752528766044,123150.44775069517,37140575832182.32
44.481752528766044,132002.24788036308,39725764674900.26
44.481752528766044,141490.29714242753,42541088082350.086
44.481752528766044,151660.327811967,45612306213332.4
44.481752528766044,162561.35930565,48974027448944.66
44.481752528766044,174245.93445468854,52666347836854.61
44.481752528766044,186770.37276060946,56735831208072.35
44.481752528766044,200195.04185452432,61229807015394.96
44.481752528766044,214584.64846833175,66217332201827.52
44.481752528766044,230008.55032033296,71764258704222.33
44.481752528766044,246541.0904185383,77955310037938.39
44.481752528766044,264261.9553930058,84890173631673.62
44.481752528766044,283256.5595843736,92681315083764.42
44.481752528766044,303616.4567398761,101460927510316.81
44.481752528766044,325439.781301229,111378600818873.97
44.481752528766044,348831.72141137073,122616751093041.44
44.481752528766044,373905.0259199532,135368792405619.42
44.481752528766044,400780.54783134663,149884538807439.03
44.481752528766044,429587.8268145607,166433303840023.72
44.481752528766044,460465.7135827752,185318988834785.78
44.481752528766044,493563.0391519924,206893606577338.22
44.481752528766044,529039.3322046124,231577982272579.22
44.481752528766044,567065.5880156212,259834769719846.7
44.481752528766044,607825.0926476188,292162855149552.1
44.481752528766044,651514.3063872679,329178635459147.06
44.481752528766044,698343.81068135,371551938290868.4
44.481752528766044,748539.3231366203,420040353810571.9
44.481752528766044,802342.7854757563,475524449597849.25
44.481752528766044,860013.5296933495,539003762621316.2
44.481752528766044,921829.5280327708,611575663722686.1
44.481752528766044,988088.7328087935,694582173328777.4
44.481752528766044,1059110.5125339176,789475882124338.5
44.481752528766044,1135237.1912704774,897889010711149.6
44.481752528766044,1216835.6986281993,1021878858198241.0
44.481752528766044,1304299.3383602048,1163579063863353.0
44.481752528766044,1398049.6840820087,1325524304651145.0
44.481752528766044,1498538.6112509272,1510603166160476.8
44.481752528766044,1606250.4751999467,1722201584143303.2
44.481752528766044,1721704.445724173,1963991701578319.0
44.481752528766044,1845457.0094725697,2240483742303305.8
44.481752528766044,1978104.6522064032,2556762746071751.5
44.481752528766044,2120286.7338529434,2918345583729255.0
44.481752528766044,2272688.570212054,3331813350459636.5
44.481752528766044,2436044.736169517,3805143974638651.5
44.481752528766044,2611142.6063384903,4346450776654772.0
44.481752528766044,2798826.1501950226,4966157715817479.0
44.481752528766044,3000000.0,5675178060269386.0
51.641646269138256,100000.0,35848234632129.42
51.641646269138256,107187.79370383405,38201470277570.61
51.641646269138256,114892.2311909571,40729784230022.54
51.641646269138256,123150.44775069517,43449849975829.37
51.641646269138256,132002.24788036308,46385456595801.266
51.641646269138256,141490.29714242753,49558389824461.375
51.641646269138256,151660.327811967,53001967588796.51
51.641646269138256,162561.35930565,56748590365118.22
51.641646269138256,174245.93445468854,60831826899232.82
51.641646269138256,186770.37276060946,65304244011454.46
51.641646269138256,200195.04185452432,70208018945152.805
51.641646269138256,214584.64846833175,75611676434457.33
51.641646269138256,230008.55032033296,81577851955055.25
51.641646269138256,246541.0904185383,88193092268714.9
51.641646269138256,264261.9553930058,95554033355436.86
51.641646269138256,283256.5595843736,103762407344621.58
51.641646269138256,303616.4567398761,112948601865626.08
51.641646269138256,325439.781301229,123266403968806.75
51.641646269138256,348831.72141137073,134882639088209.4
51.641646269138256,373905.0259199532,148008986894729.8
51.641646269138256,400780.54783134663,162869896470384.6
51.641646269138256,429587.8268145607,179737489717831.34
51.641646269138256,460465.7135827752,198921461151476.5
51.641646269138256,493563.0391519924,220785082463099.22
51.641646269138256,529039.3322046124,245727692003774.72
51.641646269138256,567065.5880156212,274242503995196.1
51.641646269138256,607825.0926476188,306841475529194.56
51.641646269138256,651514.3063872679,344165693920247.5
51.641646269138256,698343.81068135,386855546710296.94
51.641646269138256,748539.3231366203,435745989277014.2
51.641646269138256,802342.7854757563,491726521516481.2
51.641646269138256,860013.5296933495,555773021035389.25
51.641646269138256,921829.5280327708,629044892727363.2
